Nummer;Rechtsform;Abkürzung
1;Aktiengesellschaft;AG
2;eingetragene Genossenschaft;eG
3;eingetragener Verein;eV
4;Einzelkauffrau;
5;Einzelkaufmann;
6;Europäische Aktiengesellschaft (SE);SE
7;Europäische wirtschaftliche Interessenvereinigung;
8;Gesellschaft mit beschränkter Haftung;GmbH
9;HRA Juristische Person;
10;Kommanditgesellschaft;KG
12;Offene Handelsgesellschaft;oHG
13;Partnerschaft;
14;Rechtsform ausländischen Rechts GnR;
15;Rechtsform ausländischen Rechts HRA;
16;Rechtsform ausländischen Rechts HRb;
17;Rechtsform ausländischen Rechts PR;
18;Seerechtliche Gesellschaft;
19;Versicherungsverein auf Gegenseitigkeit;
40;Anstalt öffentlichen Rechts;
46;Bergrechtliche Gesellschaft;
48;Körperschaft öffentlichen Rechts;
49; Europäische Genossenschaft (SCE);SCE
51;Stiftung privaten Rechts;
52;Stiftung öffentlichen Rechts;
53;HRA sonstige Rechtsformen;
54;Sonstige juristische Person;
55;Einzelkaufmann/Einzelkauffrau;
